epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
4,275.356,1.45131,1.24141,1.82419,0.92439,0.8976,0.94338,0.46426,1.62481,0.88394,2.40992,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
5,340.555,1.43098,1.22002,1.81007,0.8572,0.85095,0.89367,0.4255,1.74839,1.00966,2.58217,0.029987,0.00999566,0.029987,0.00999566,0.029987,0.00999566,0.029987,0.00999566
6,405.15,1.40016,1.19648,1.77621,0.89986,0.85911,0.932,0.46366,1.59263,0.89253,2.39829,0.0299796,0.00999322,0.0299796,0.00999322,0.0299796,0.00999322,0.0299796,0.00999322
7,469.969,1.36799,1.1324,1.75907,0.93384,0.89403,0.9555,0.49984,1.61023,0.80765,2.37133,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
8,534.596,1.35736,1.1052,1.73776,0.91543,0.93013,0.95857,0.49928,1.56197,0.84607,2.34128,0.0299601,0.00998671,0.0299601,0.00998671,0.0299601,0.00998671,0.0299601,0.00998671
9,598.969,1.3281,1.08453,1.71877,0.94477,0.91808,0.96429,0.47894,1.66469,0.7834,2.44473,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264
10,663.525,1.31642,1.0713,1.71508,0.91775,0.90716,0.96839,0.5074,1.55403,0.83234,2.31077,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
11,728.672,1.32289,1.02697,1.70584,0.94618,0.95397,0.97088,0.53836,1.49567,0.67435,2.29139,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288
12,794.059,1.29854,1.02331,1.69433,0.94248,0.94229,0.96928,0.5202,1.53454,0.72674,2.31341,0.0299016,0.0099672,0.0299016,0.0099672,0.0299016,0.0099672,0.0299016,0.0099672
13,859.136,1.27242,0.97244,1.66934,0.94924,0.90003,0.95082,0.50353,1.59256,0.80041,2.36196,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
14,924.2,1.27244,0.99685,1.68142,0.93542,0.95117,0.97627,0.51812,1.48815,0.69956,2.25456,0.0298626,0.0099542,0.0298626,0.0099542,0.0298626,0.0099542,0.0298626,0.0099542
15,989.093,1.24871,0.97081,1.65342,0.92126,0.92299,0.94899,0.47592,1.63643,0.76381,2.43095,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469
16,1054.14,1.26102,0.98228,1.66989,0.95152,0.95378,0.97293,0.58022,1.40586,0.67602,2.14555,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
17,1119.25,1.24856,0.94387,1.65513,0.93437,0.95086,0.97564,0.53295,1.49342,0.68067,2.24132,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068
18,1184.61,1.2228,0.92123,1.63884,0.94892,0.96198,0.9828,0.54149,1.50086,0.63567,2.26109,0.0297653,0.00992177,0.0297653,0.00992177,0.0297653,0.00992177,0.0297653,0.00992177
19,1249.52,1.22131,0.91803,1.64098,0.95297,0.9389,0.96739,0.56761,1.41188,0.63743,2.19304,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
